time,,,MPC,RL,RL_opal_RT
3.98,0.0005002,0.000125647,500.2,125.6465912,1.10E+02
4,0.00050132,0.000159264,501.32,159.2636108,1.10E+02
4.02,0.00050537,0.000137568,505.37,137.5675201,1.10E+02
4.04,0.00050006,0.000149965,500.06,149.9652863,1.10E+02
4.06,0.00049992,0.000140429,499.92,140.4285431,1.10E+02
4.08,0.00049971,0.000154257,499.71,154.2568207,1.10E+02
4.1,0.0005009,0.000127077,500.9,127.0771027,1.10E+02
4.12,0.00050558,0.000126362,505.58,126.3618469,1.10E+02
4.14,0.00049964,0.000133991,499.64,133.9912415,1.10E+02
4.16,0.00050013,0.000121355,500.13,121.3550568,1.10E+02
4.18,0.00050062,0.000146866,500.62,146.8658447,1.10E+02
4.2,0.00050111,0.000149488,501.11,149.4884491,1.10E+02
4.22,0.00050467,0.000150919,504.67,150.9189606,1.10E+02
4.24,0.00050034,0.000140429,500.34,140.4285431,1.10E+02
4.26,0.00049944,0.000153542,499.44,153.5415649,1.10E+02
4.28,0.00050076,0.000146151,500.76,146.150589,1.10E+02
4.3,0.00050041,0.000132799,500.41,132.7991486,1.10E+02
4.32,0.00049992,0.000124454,499.92,124.4544983,1.10E+02
4.34,0.00050146,0.00014782,501.46,147.819519,1.10E+02
4.36,0.00049999,0.000155449,499.99,155.4489136,1.10E+02
4.38,0.00050006,0.000153303,500.06,153.3031464,1.10E+02
4.4,0.0005009,0.000138283,500.9,138.2827759,1.10E+02
4.42,0.0004995,0.000167608,499.5,167.6082611,1.10E+02
4.44,0.00050453,0.000144243,504.53,144.2432404,1.10E+02
4.46,0.00049964,0.00014782,499.64,147.819519,1.10E+02
4.48,0.00049985,0.000149965,499.85,149.9652863,1.10E+02
4.5,0.0005009,0.000169516,500.9,169.5156097,1.10E+02
4.52,0.00049999,0.000118732,499.99,118.7324524,1.10E+02
4.54,0.00050649,0.000124693,506.49,124.6929169,1.10E+02
4.56,0.00050055,0.000129461,500.55,129.4612885,1.10E+02
4.58,0.00049999,0.00013566,499.99,135.6601715,1.10E+02
4.6,0.00050013,0.000131845,500.13,131.8454742,1.10E+02
4.62,0.00050048,0.00011754,500.48,117.5403595,1.10E+02
4.64,0.00050558,0.000125647,505.58,125.6465912,1.10E+02
4.66,0.00049971,0.000130892,499.71,130.8917999,1.10E+02
4.68,0.00050055,0.000130892,500.55,130.8917999,1.10E+02
4.7,0.00050118,0.0001266,501.18,126.6002655,1.10E+02
4.72,0.00050062,0.000140667,500.62,140.6669617,1.10E+02
4.74,0.00050572,0.000121593,505.72,121.5934753,1.10E+02
4.76,0.00050118,0.000128031,501.18,128.030777,1.10E+02
4.78,0.0005009,0.000132799,500.9,132.7991486,1.10E+02
4.8,0.00049999,0.000126839,499.99,126.8386841,1.10E+02
4.82,0.00049951,0.000123501,499.51,123.500824,1.10E+02
4.84,0.00049923,0.000133753,499.23,133.7528229,1.10E+02
4.86,0.00049971,0.000117779,499.71,117.7787781,1.10E+02
4.88,0.00050027,0.00013423,500.27,134.22966,1.10E+02
4.9,0.00050041,0.00011301,500.41,113.0104065,1.10E+02
4.92,0.00049916,0.000117779,499.16,117.7787781,1.10E+02
4.94,0.00050195,0.0001266,501.95,126.6002655,1.10E+02
4.96,0.00049916,0.000123262,499.16,123.2624054,1.10E+02
4.98,0.00050062,0.000125885,500.62,125.8850098,1.10E+02
5,0.00050104,0.000123501,501.04,123.500824,1.10E+02
5.02,0.00050139,0.000118017,501.39,118.0171967,1.10E+02
5.04,0.00049992,0.000125885,499.92,125.8850098,1.10E+02
5.06,0.00050369,0.000118256,503.69,118.2556152,1.10E+02
5.08,0.00050125,0.000160217,501.25,160.2172852,1.10E+02
5.1,0.00050083,0.000155449,500.83,155.4489136,1.10E+02
5.12,0.00050048,0.000152111,500.48,152.1110535,1.10E+02
5.14,0.00050062,0.000144482,500.62,144.4816589,1.10E+02
5.16,0.0005046,0.000144958,504.6,144.9584961,1.10E+02
5.18,0.00050041,0.000128508,500.41,128.5076141,1.10E+02
5.2,0.0004993,0.0001297,499.3,129.699707,1.10E+02
5.22,0.00050027,0.000130892,500.27,130.8917999,1.10E+02
5.24,0.00049971,0.000132799,499.71,132.7991486,1.10E+02
5.26,0.00050572,0.000150442,505.72,150.4421234,1.10E+02
5.28,0.00050006,0.000122547,500.06,122.5471497,1.10E+02
5.3,0.0005002,0.000131369,500.2,131.3686371,1.10E+02
5.32,0.00050118,0.000130892,501.18,130.8917999,1.10E+02
5.34,0.00049971,0.000138044,499.71,138.0443573,1.10E+02
5.36,0.00050628,0.000128031,506.28,128.030777,1.10E+02
5.38,0.00050041,0.000125408,500.41,125.4081726,1.10E+02
5.4,0.00050006,0.000126839,500.06,126.8386841,1.10E+02
5.42,0.00049957,0.000124693,499.57,124.6929169,1.10E+02
5.44,0.00049992,0.000125408,499.92,125.4081726,1.10E+02
5.46,0.00050879,0.000136852,508.79,136.8522644,1.10E+02
5.48,0.00050034,0.000127077,500.34,127.0771027,1.10E+02
5.5,0.00050118,0.000127554,501.18,127.5539398,1.10E+02
5.52,0.00050104,0.000160694,501.04,160.6941223,1.10E+02
5.54,0.00050069,0.000131845,500.69,131.8454742,1.10E+02
5.56,0.00050153,0.000129461,501.53,129.4612885,1.10E+02
5.58,0.00050146,0.000120163,501.46,120.1629639,1.10E+02
5.6,0.00050048,0.000124216,500.48,124.2160797,1.10E+02
5.62,0.00050006,0.000119686,500.06,119.6861267,1.10E+02
5.64,0.00050069,0.000134468,500.69,134.4680786,1.10E+02
5.66,0.00050733,0.0001266,507.33,126.6002655,1.10E+02
5.68,0.00049999,0.000125408,499.99,125.4081726,1.10E+02
5.7,0.0005002,0.000118494,500.2,118.4940338,1.10E+02
5.72,0.00050013,0.000123262,500.13,123.2624054,1.10E+02
5.74,0.00050048,0.0001297,500.48,129.699707,1.10E+02
5.76,0.00049909,0.000124693,499.09,124.6929169,1.10E+02
5.78,0.00050062,0.00013113,500.62,131.1302185,1.10E+02
5.8,0.0005002,0.000117779,500.2,117.7787781,1.10E+02
5.82,0.0005009,0.000136137,500.9,136.1370087,1.10E+02
5.84,0.00050041,0.000127316,500.41,127.3155212,1.10E+02
5.86,0.00049902,0.000137329,499.02,137.3291016,1.10E+02
5.88,0.00049951,0.000129938,499.51,129.9381256,1.10E+02
5.9,0.00050048,0.000128508,500.48,128.5076141,1.10E+02
5.92,0.00049922,0.000134706,499.22,134.7064972,1.10E+02
5.94,0.00050132,0.000172853,501.32,172.8534698,1.10E+02
5.96,0.00050034,0.000145912,500.34,145.9121704,1.10E+02
5.98,0.00050516,0.000144005,505.16,144.0048218,1.10E+02
6,0.00050076,0.000150681,500.76,150.680542,1.10E+02
6.02,0.00049916,0.000128746,499.16,128.7460327,1.10E+02
6.04,0.00050153,0.000127554,501.53,127.5539398,1.10E+02
6.06,0.00049999,0.000144243,499.99,144.2432404,1.10E+02
6.08,0.0005053,0.000115156,505.3,115.1561737,1.10E+02
6.1,0.00049881,0.00014472,498.81,144.7200775,1.10E+02
6.12,0.00049985,0.000126839,499.85,126.8386841,1.10E+02
6.14,0.00049923,0.000127077,499.23,127.0771027,1.10E+02
6.16,0.00050027,0.000129938,500.27,129.9381256,1.10E+02
6.18,0.00050635,0.000128269,506.35,128.2691956,1.10E+02
6.2,0.0005016,0.000127077,501.6,127.0771027,1.10E+02
6.22,0.00050076,0.000123739,500.76,123.7392426,1.10E+02
6.24,0.00050132,0.000120878,501.32,120.8782196,1.10E+02
6.26,0.0005002,0.000129938,500.2,129.9381256,1.10E+02
6.28,0.00050551,0.000129461,505.51,129.4612885,1.10E+02
